region,coords
SFG_L_7_1,"-5 ,15, 54 "
SFG_R_7_1,"7, 16, 54 "
SFG_L_7_2,"-18, 24, 53 "
SFG_R_7_2,"22, 26, 51 "
SFG_L_7_3,"-11, 49, 40 "
SFG_R_7_3,"13, 48, 40 "
SFG_L_7_4,"-18, -1, 65 "
SFG_R_7_4,"20, 4, 64 "
SFG_L_7_5,"-6, -5, 58 "
SFG_R_7_5,"7, -4, 60 "
SFG_L_7_6,"-5, 36, 38 "
SFG_R_7_6,"6, 38, 35 "
SFG_L_7_7,"-8, 56, 15 "
SFG_R_7_7,"8, 58, 13 "
MFG_L_7_1,"-27, 43, 31 "
MFG_R_7_1,"30, 37, 36 "
MFG_L_7_2,"-42, 13, 36 "
MFG_R_7_2,"42, 11, 39 "
MFG_L_7_3,"-28, 56, 12 "
MFG_R_7_3,"28, 55, 17 "
MFG_L_7_4,"-41, 41, 16 "
MFG_R_7_4,"42, 44, 14 "
MFG_L_7_5,"-33, 23, 45 "
MFG_R_7_5,"42, 27, 39 "
MFG_L_7_6,"-32, 4, 55 "
MFG_R_7_6,"34, 8, 54 "
MFG_L_7_7,"-26, 60, -6 "
MFG_R_7_7,"25, 61, -4 "
IFG_L_6_1,"-46, 13, 24 "
IFG_R_6_1,"45, 16, 25 "
IFG_L_6_2,"-47, 32, 14 "
IFG_R_6_2,"48, 35, 13 "
IFG_L_6_3,"-53, 23, 11 "
IFG_R_6_3,"54, 24, 12 "
IFG_L_6_4,"-49, 36, -3 "
IFG_R_6_4,"51, 36, -1 "
IFG_L_6_5,"-39, 23, 4 "
IFG_R_6_5,"42, 22, 3 "
IFG_L_6_6,"-52, 13, 6 "
IFG_R_6_6,"54, 14, 11 "
OrG_L_6_1,"-7, 54, -7 "
OrG_R_6_1,"6, 47, -7 "
OrG_L_6_2,"-36, 33, -16 "
OrG_R_6_2,"40, 39, -14 "
OrG_L_6_3,"-23, 38, -18 "
OrG_R_6_3,"23, 36, -18 "
OrG_L_6_4,"-6, 52, -19 "
OrG_R_6_4,"6, 57, -16 "
OrG_L_6_5,"-10, 18, -19 "
OrG_R_6_5,"9, 20, -19 "
OrG_L_6_6,"-41, 32, -9 "
OrG_R_6_6,"42, 31, -9 "
PrG_L_6_1,"-49, -8, 39 "
PrG_R_6_1,"55, -2, 33 "
PrG_L_6_2,"-32, -9, 58 "
PrG_R_6_2,"33, -7, 57 "
PrG_L_6_3,"-26, -25, 63 "
PrG_R_6_3,"34, -19, 59 "
PrG_L_6_4,"-13, -20, 73 "
PrG_R_6_4,"15, -22, 71 "
PrG_L_6_5,"-52, 0, 8 "
PrG_R_6_5,"54, 4, 9 "
PrG_L_6_6,"-49, 5, 30 "
PrG_R_6_6,"51, 7, 30 "
PCL_L_2_1,"-8, -38, 58 "
PCR_R_2_1,"10, -34, 54 "
PCL_L_2_2,"-4, -23, 61 "
PCR_R_2_2,"5, -21, 61 "
STG_L_6_1,"-32, 14, -34 "
STG_R_6_1,"31, 15, -34 "
STG_L_6_2,"-54, -32, 12 "
STG_R_6_2,"54, -24, 11 "
STG_L_6_3,"-50, -11, 1 "
STG_R_6_3,"51, -4, -1 "
STG_L_6_4,"-62, -33, 7 "
STG_R_6_4,"66, -20, 6 "
STG_L_6_5,"-45, 11, -20 "
STG_R_6_5,"47, 12, -20 "
STG_L_6_6,"-55, -3, -10 "
STG_R_6_6,"56, -12, -5 "
MTG_L_4_1,"-65, -30, -12 "
MTG_R_4_1,"65, -29, -13 "
MTG_L_4_2,"-53, 2, -30 "
MTG_R_4_2,"51, 6, -32 "
MTG_L_4_3,"-59, -58, 4 "
MTG_R_4_3,"60, -53, 3 "
MTG_L_4_4,"-58, -20, -9 "
MTG_R_4_4,"58, -16, -10 "
ITG_L_7_1,"-45, -26, -27 "
ITG_R_7_1,"46, -14, -33 "
ITG_L_7_2,"-51, -57, -15 "
ITG_R_7_2,"53, -52, -18 "
ITG_L_7_3,"-43, -2, -41 "
ITG_R_7_3,"40, 0, -43 "
ITG_L_7_4,"-56, -16, -28 "
ITG_R_7_4,"55, -11, -32 "
ITG_L_7_5,"-55, -60, -6 "
ITG_R_7_5,"54, -57, -8 "
ITG_L_7_6,"-59, -42, -16 "
ITG_R_7_6,"61, -40, -17 "
ITG_L_7_7,"-55, -31, -27 "
ITG_R_7_7,"54, -31, -26 "
FuG_L_3_1,"-33, -16, -32 "
FuG_R_3_1,"33, -15, -34 "
FuG_L_3_2,"-31, -64, -14 "
FuG_R_3_2,"31, -62, -14 "
FuG_L_3_3,"-42, -51, -17 "
FuG_R_3_3,"43, -49, -19 "
PhG_L_6_1,"-27, -7, -34 "
PhG_R_6_1,"28, -8, -33 "
PhG_L_6_2,"-25, -25, -26 "
PhG_R_6_2,"26, -23, -27 "
PhG_L_6_3,"-28, -32, -18 "
PhG_R_6_3,"30, -30, -18 "
PhG_L_6_4,"-19, -12, -30 "
PhG_R_6_4,"19, -10, -30 "
PhG_L_6_5,"-23, 2, -32 "
PhG_R_6_5,"22, 1, -36 "
PhG_L_6_6,"-17, -39, -10 "
PhG_R_6_6,"19, -36, -11 "
pSTS_L_2_1,"-54, -40, 4 "
pSTS_R_2_1,"53, -37, 3 "
pSTS_L_2_2,"-52, -50, 11 "
pSTS_R_2_2,"57, -40, 12 "
SPL_L_5_1,"-16, -60, 63 "
SPR_R_5_1,"19, -57, 65 "
SPL_L_5_2,"-15, -71, 52 "
SPR_R_5_2,"19, -69, 54 "
SPL_L_5_3,"-33, -47, 50 "
SPR_R_5_3,"35, -42, 54 "
SPL_L_5_4,"-22, -47, 65 "
SPR_R_5_4,"23, -43, 67 "
SPL_L_5_5,"-27, -59, 54 "
SPR_R_5_5,"31, -54, 53 "
IPL_L_6_1,"-34, -80, 29 "
IPR_R_6_1,"45, -71, 20 "
IPL_L_6_2,"-38, -61, 46 "
IPR_R_6_2,"39, -65, 44 "
IPL_L_6_3,"-51, -33, 42 "
IPR_R_6_3,"47, -35, 45 "
IPL_L_6_4,"-56, -49, 38 "
IPR_R_6_4,"57, -44, 38 "
IPL_L_6_5,"-47, -65, 26 "
IPR_R_6_5,"53, -54, 25 "
IPL_L_6_6,"-53, -31, 23 "
IPR_R_6_6,"55, -26, 26 "
PCun_L_4_1,"-5, -63, 51 "
PCun_R_4_1,"6, -65, 51 "
PCun_L_4_2,"-8, -47, 57 "
PCun_R_4_2,"7, -47, 58 "
PCun_L_4_3,"-12, -67, 25 "
PCun_R_4_3,"16, -64, 25 "
PCun_L_4_4,"-6, -55, 34 "
PCun_R_4_4,"6, -54, 35 "
PoG_L_4_1,"-50, -16, 43 "
PoG_R_4_1,"50, -14, 44 "
